,sagittal0,sagittal1,sagittal2,sagittal3,sagittal4,sagittal5,sagittal6,sagittal7,sagittal8,sagittal9,sagittal10,sagittal11,sagittal12,sagittal13,sagittal14,sagittal15,sagittal16,sagittal17,sagittal18,sagittal19,sagittal20,sagittal21,sagittal22,sagittal23,25th percentile,50th percentile,75th percentile
0,137.6893055907204,213.1833615494056,314.9061243900069,141.5343132970528,217.0273236304711,318.7500864713234,123.5817993394135,188.1334089808738,288.8286691657211,130.4913431858278,195.0430991130475,295.7383592988742,119.3146637942229,164.2118432150598,263.8796007416404,127.829296947657,173.0990506397356,272.7668081705013,103.8755231456212,142.0537983913267,240.6940532701378,113.0308120886718,151.2071364547213,249.8473913302605,135.88981498949724,173.0990506397356,247.55905681522984
1,137.4876556396484,166.8674926757812,243.7438049316406,141.2820129394531,170.338623046875,247.0984954833984,124.1342926025391,143.9690246582031,220.4951782226562,130.9843902587891,150.044189453125,226.057861328125,112.3877410888672,122.7447357177734,198.8655700683594,121.5076675415039,129.9990539550781,205.152099609375,103.7762298583984,103.4501037597656,178.8844299316406,113.3698272705078,109.9005126953125,184.3086547851562,122.43546867370603,141.2820129394531,182.9525985717773
2,119.3705291748047,113.7712554931641,147.5133056640625,119.5538558959961,114.2431411743164,147.41162109375,111.0831756591797,99.99700927734375,135.9764709472656,113.446174621582,101.9246368408203,135.1274566650391,104.5041046142578,89.55711364746094,127.3834533691406,107.0791168212891,89.37613677978516,123.3221282958984,96.21778869628906,79.88143920898438,117.7336120605469,102.0129852294922,78.01939392089844,113.2170791625977,101.44272994995116,113.2170791625977,119.50802421569824
3,91.543212890625,70.65218353271484,61.73496627807617,92.23368835449219,68.05245208740234,58.27738189697266,84.92745971679688,65.65481567382812,61.22805786132812,85.93394470214844,63.69237899780273,54.3538818359375,79.13765716552734,65.054931640625,65.05105590820312,80.31813049316406,57.89849853515625,53.19058227539062,75.04861450195312,64.79377746582031,65.56080627441406,74.96554565429688,54.94938659667969,51.58005905151367,60.49038887023925,65.054931640625,75.02784729003906
4,73.43600463867188,55.978759765625,45.84121704101562,70.5389175415039,54.43654632568359,43.62931060791016,71.8763427734375,52.80022048950195,45.01114654541016,68.49684143066406,51.33417510986328,40.91814804077148,67.29170989990234,52.07302093505859,49.40863418579102,65.88957214355469,47.65605163574219,41.89094924926758,62.64687347412109,51.55206680297852,48.90651702880859,63.91567993164062,45.41521835327148,39.71932983398438,45.73471736907958,51.55206680297852,63.598478317260735
5,45.60868072509766,41.60726928710938,30.61122703552246,43.21875762939453,41.02606582641602,29.95235633850098,45.96701049804688,40.37557983398438,29.12268447875977,41.10256958007812,39.82358169555664,28.95953750610352,46.36897277832031,39.44244384765625,33.94111251831055,39.3509635925293,37.79240417480469,31.43635559082031,46.90936660766602,39.78746795654297,33.49567413330078,37.04314422607422,36.18595123291016,29.87233352661133,32.980844497680664,39.3509635925293,41.08344364166259
6,33.59829711914062,33.276611328125,24.55517196655273,32.19687271118164,32.62421035766602,23.81888198852539,33.71009826660156,32.70955276489258,23.66768455505371,30.74255561828613,31.51728439331055,22.49055099487305,34.05473327636719,31.8983039855957,26.26218032836914,30.15525054931641,30.07418632507324,24.89328575134277,34.50762176513672,31.50884246826172,26.6424446105957,28.63852691650391,29.09981155395508,23.2687816619873,25.91995668411255,30.15525054931641,32.51737594604493
7,21.66333389282227,25.03994941711426,20.09550857543945,21.31099319458008,24.32828903198242,19.50623893737793,21.53331184387207,25.08998870849609,20.23667144775391,20.38968467712402,23.70049285888672,18.73674011230469,22.20878601074219,25.00541877746582,20.1765308380127,21.18707847595215,23.0811882019043,18.56029510498047,22.6380672454834,25.36081314086914,19.89213752746582,20.42458343505859,22.70518112182617,17.32604789733887,20.15627527236939,21.31099319458008,22.98718643188477
8,19.83081817626953,19.59367370605469,17.97891044616699,19.44960403442383,19.08618927001953,17.57949447631836,19.58183860778809,19.67730712890625,18.06732559204102,18.79689025878906,18.2935733795166,16.91699981689453,20.32388687133789,19.61791229248047,17.9823112487793,19.32431983947754,17.67498397827148,16.66741943359375,20.76338195800781,19.71824645996094,17.53073120117188,18.02941513061523,17.29122924804688,15.39171600341797,17.6511116027832,18.2935733795166,19.59071493148804
9,17.20782279968262,15.76818943023682,15.86589431762695,16.9979419708252,14.96872901916504,15.66767692565918,17.44741439819336,15.23774814605713,16.02226257324219,16.30378913879395,13.86970710754395,15.21761226654053,17.86456108093262,15.13435649871826,15.90351104736328,16.74383926391602,13.43436622619629,14.77535820007324,17.93796539306641,14.9796085357666,15.28427696228027,16.01641654968262,12.60595321655273,13.82709789276123,14.97688865661621,15.66767692565918,16.23340749740601
10,15.60697364807129,14.20454597473145,15.00302219390869,15.31441211700439,13.56765365600586,14.73670196533203,15.49594211578369,13.52836608886719,14.88511085510254,14.71099472045898,12.47103309631348,13.95772552490234,16.11326599121094,13.32334995269775,14.35638999938965,14.97354793548584,11.78824710845947,13.1779203414917,16.06328201293945,13.1181058883667,13.53452014923096,13.72399997711182,11.09208583831787,12.32919788360596,13.286992549896237,13.95772552490234,14.951438665390015
11,13.25645351409912,12.75833702087402,13.35748672485352,13.21797752380371,12.4202938079834,13.00227165222168,13.54449558258057,12.0677318572998,13.11947154998779,12.45328235626221,11.25278663635254,12.54562568664551,13.65394020080566,11.81584548950195,12.98473739624023,12.47888660430908,10.62966251373291,11.81046104431152,13.66676139831543,11.48501968383789,12.39662647247314,11.71100044250488,9.959396362304688,11.0181245803833,11.78559589385986,12.45328235626221,13.090171575546261
12,11.65560340881348,11.74048137664795,12.09184837341309,11.66646194458008,11.38085174560547,11.90209007263184,11.64543437957764,11.23313903808594,12.04606628417969,10.86048793792725,10.63588523864746,11.28573894500732,11.92388343811035,11.16384696960449,11.70635414123535,11.04225540161133,9.977678298950195,10.66550827026367,11.86251258850098,10.87812423706055,11.2985668182373,10.43808174133301,9.352500915527344,9.713418006896973,10.811743021011356,11.28573894500732,11.696381092071531
