,metopic0,metopic1,metopic2,metopic3,metopic4,metopic5,metopic6,metopic7,metopic8,metopic9,metopic10,metopic11,metopic12,metopic13,metopic14,metopic15,metopic16,metopic17,metopic18,metopic19,metopic20,metopic21,metopic22,metopic23,25th percentile,50th percentile,75th percentile
0,439.2980182574559,159.2254774157724,428.4814178239286,148.4088769822456,422.950233718002,142.8776928763179,719.4551435407507,462.0630673478649,681.597042023406,424.2049658305199,662.2378976526627,404.8458214597768,999.6122688240434,772.0043370718377,934.7126662228808,707.1047344706747,901.5255615873209,673.9176298351144,1279.769394107337,1082.109874427788,1187.828290422355,990.168770742807,1140.813225521979,943.1537058424313,427.4123048255765,681.597042023406,941.0434459375437
1,400.0824279785156,149.4613647460938,389.2658386230469,138.6448059082031,383.734619140625,133.1136474609375,669.778076171875,436.012451171875,631.919921875,398.1543884277344,612.5607299804688,378.7952270507812,939.3036499023438,744.5950927734375,874.4039306640625,679.6954345703125,841.2169189453125,646.50830078125,1219.809326171875,1039.82470703125,1127.8681640625,947.883544921875,1080.853149414062,900.8685302734375,395.9322509765625,646.50830078125,894.2523803710938
2,218.5175628662109,88.53851318359375,218.4350280761719,80.47779846191406,218.4347991943359,80.4778060913086,386.8552551269531,261.9805297851562,353.045654296875,232.4096832275391,344.3593139648438,222.8100433349609,552.3623657226562,417.7335815429688,491.6061096191406,367.7295837402344,471.6140747070312,352.7872314453125,697.9019775390625,575.1249389648438,616.2063598632812,507.4869689941406,591.0743408203125,487.5402526855469,221.7369232177734,353.045654296875,490.5896453857422
3,43.82849502563477,29.77976036071777,54.47999572753906,24.80314636230469,60.01075744628906,30.33432960510254,113.9678649902344,89.92466735839844,84.74552917480469,67.25212097167969,86.73187255859375,67.6524658203125,179.416748046875,94.76563262939453,123.1260528564453,59.00746917724609,116.3709411621094,62.09064865112305,181.801513671875,117.3208999633789,110.2032470703125,72.8860855102539,106.9350051879883,79.979248046875,59.75993537902832,79.979248046875,109.38618659973145
4,39.15987396240234,25.09161376953125,47.82963562011719,18.88479423522949,51.78045272827148,24.41597366333008,83.01191711425781,59.53751754760742,63.10533142089844,46.08343505859375,68.04296112060547,50.97126770019531,121.2309722900391,70.116943359375,84.62027740478516,48.4542121887207,87.17437744140625,55.35256958007812,127.8009185791016,88.25139617919922,82.14654541015625,63.50083923339844,85.30812072753906,68.50999450683594,48.298068046569824,63.10533142089844,82.79557418823242
5,30.152099609375,21.92343330383301,36.82479476928711,14.74306774139404,39.77925109863281,19.54973220825195,52.28324127197266,31.53013038635254,41.99858474731445,25.95559501647949,50.21981811523438,35.55511856079102,63.8814582824707,46.27166748046875,47.47136688232422,38.82139587402344,59.43440246582031,48.05578231811523,74.18101501464844,59.94664001464844,54.60099029541016,50.95722198486328,64.36083984375,59.24130249023438,34.548871517181404,46.27166748046875,54.02155303955079
6,25.8334903717041,20.03211975097656,30.17443084716797,13.77946472167969,31.54894256591797,15.72752571105957,38.26411437988281,26.25614929199219,33.87051391601562,23.24824142456055,43.37580108642578,28.90633583068848,50.93376922607422,38.01316070556641,41.95438385009766,33.2990837097168,50.33618545532227,42.16936111450195,58.00283050537109,49.05453109741211,46.43746185302734,41.57197570800781,57.40026092529297,51.10017395019531,28.243789196014408,38.01316070556641,45.672046661376946
7,16.82571601867676,18.18510437011719,19.51961135864258,10.907470703125,19.95811462402344,12.74152755737305,24.79392433166504,21.03104782104492,26.22069358825684,19.59655952453613,36.04601669311523,22.2963981628418,38.24162292480469,31.15937995910645,36.9395751953125,29.32948112487793,41.26855850219727,34.87257385253906,42.25099182128906,40.03993225097656,38.4404296875,30.9842586517334,46.72541046142578,41.83148956298828,19.867725849151615,29.32948112487793,37.91611099243164
8,15.10928153991699,15.13091087341309,17.80317687988281,10.0466365814209,17.85364532470703,10.39887237548828,21.72725868225098,18.32369232177734,22.53459930419922,18.06386947631836,29.20199966430664,19.71194076538086,31.23506546020508,24.73471069335938,31.95294952392578,26.99441146850586,34.44404983520508,28.2654914855957,35.77507400512695,32.58754730224609,33.64987945556641,27.67156982421875,39.76483154296875,36.22468566894531,18.011313438415527,24.73471069335938,31.773478507995605
9,12.65835571289062,13.28389549255371,15.35225200653076,7.174641609191895,15.51165771484375,8.273797035217285,18.88577842712402,15.16481971740723,18.87649536132812,14.43201637268066,22.04558372497559,15.92950248718262,24.50560760498047,20.48533248901367,27.13434982299805,22.98395156860352,27.7747688293457,23.32013130187988,29.50780296325684,25.22332763671875,29.04935836791992,23.96910285949707,29.2169189453125,24.59585762023926,15.305393934249878,20.48533248901367,24.573295116424564
10,10.94192123413086,11.8062744140625,13.5619068145752,6.457918643951416,13.61368560791016,7.71619701385498,16.33486557006836,13.42891502380371,17.32091522216797,13.49657440185547,20.27083587646484,14.51357460021973,21.9826602935791,17.3819408416748,23.53144454956055,20.86426162719727,25.17769241333008,18.68073463439941,26.7364501953125,21.26406288146973,25.9970645904541,20.80804824829102,26.61478424072266,20.60153388977051,13.545573711395267,17.3819408416748,21.164112567901615
11,8.909417152404785,8.512873649597168,11.60331344604492,5.677078247070312,11.54384708404541,7.040263175964355,13.78973293304443,10.49224472045898,14.92054843902588,11.06607246398926,18.1544132232666,10.77860069274902,19.564697265625,14.30455207824707,20.06334495544434,16.67927932739258,22.40262222290039,14.05587577819824,23.39148712158203,17.32095336914062,22.98678588867188,17.12145805358887,24.04000854492188,17.16512107849121,10.9942045211792,14.30455207824707,17.946048259735107
12,8.069948196411133,7.901253700256348,9.812968254089355,4.960355758666992,9.948396682739258,6.255460739135742,11.90952110290527,8.756339073181152,13.48546886444092,10.13069915771484,16.40737342834473,10.24566841125488,17.20775604248047,12.77919960021973,17.6602840423584,14.88890266418457,19.80554580688477,13.04433822631836,20.62013626098633,15.37715339660645,20.0665283203125,14.77830982208252,21.48172760009766,15.79085350036621,9.914539575576782,13.04433822631836,16.2532434463501
13,7.230654716491699,7.12944507598877,8.02273178100586,4.312003135681152,8.35299301147461,5.792521476745605,10.4446849822998,7.020488262176514,11.7147798538208,7.700197219848633,14.74462890625,9.552225112915039,15.48789024353027,11.25607490539551,15.92362976074219,13.10601043701172,17.38468170166016,12.1395206451416,17.80160140991211,13.59342575073242,17.63029861450195,12.90905952453613,19.31713104248047,14.59918212890625,7.942098140716553,11.7147798538208,14.708267211914062
